sample,Noncoding,alpha_IIIa_secreted_candidate,alpha_IIIb,alpha_IIIc,alpha_IIIc_truncated,alpha_truncated,beta_IIIa_secreted_candidate,beta_IIIb,beta_IIIc,dominant_negative_candidate,ultrashort_truncated
CDS-oUD3ih,36.648963,0.0,0.0,12.250975,0.074607,0.097851,0.0,2.025476,16.368736,0.05017,10.079758
CDS-oV7eXE,6.693283999999999,0.0,0.0,3.456493,0.0,0.0,0.0,0.0,3.869027,0.0,0.0
CDS-oW8PMQ,1.8897,0.0,0.0,3.172723,0.0,0.0,0.0,6.389657,6.646732,0.0,2.714728
CDS-oX4uR8,4.850852,0.0,0.0,2.375401,0.0,0.0,0.0,3.522631,3.8762700000000003,0.0,0.148911
CDS-ocUBln,120.001717,0.0,0.0,66.80905200000001,0.0,0.860354,0.0,3.695395,4.856911,0.0,0.499156
CDS-ofdgWB,76.594886,0.0,0.0,27.091652999999997,0.0,0.0,0.0,5.95188,14.113312,0.057249,0.231266
CDS-ofngrM,3.993315,0.0,0.0,1.91073,0.025756,0.0,0.0,1.869382,2.486006,0.0,0.204705
CDS-ohtDnq,0.348582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-ohysnM,5.844951,0.0,0.0,4.0665320000000005,0.0,0.0,0.0,0.454476,1.907548,0.0,0.0
CDS-oifucI,0.175176,0.0,0.007639,0.41224900000000003,0.017534,0.0,0.0,0.0,0.0,0.0,0.0
CDS-okYAqI,10.0608,0.0,0.0,10.092965000000001,0.0,0.0,0.0,0.0,0.834999,0.0,0.0
CDS-olnBVc,86.424635,0.0,0.0,31.628749,0.0,0.127842,0.0,8.429402,11.021271,0.0,3.737495
CDS-ooZ4f4,69.231019,0.0,0.0,43.111315,0.405706,0.105481,0.0,0.0,39.316254,0.044517,7.534677
CDS-oodJXt,13.746804000000001,0.0,0.0,7.7087840000000005,0.0,0.0,0.0,8.452111,8.933446,0.0,0.103667
CDS-oqiRgk,3.2930740000000003,0.0,0.0,1.376992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-ossxWc,13.195829,0.0,0.0,5.828405999999999,0.0,0.0,0.0,0.0,1.298794,0.025628,0.831969
CDS-owqRTD,10.297984,0.0,0.0,1.6814660000000001,0.0,0.0,0.0,8.478619,9.011801,0.0,0.063198
CDS-oz6O33,2.039197,0.0,0.0,0.638554,0.037301,0.0,0.0,0.350703,0.340127,0.0,0.0
CDS-p33L9h,2.7354849999999997,0.0,0.0,2.724861,0.0,0.0,0.0,0.0,0.313783,0.0,0.0
CDS-p45cg8,48.149934,0.0,0.0,22.202377000000002,0.053763,0.0,0.0,4.017979,17.699906,0.0,2.550974
CDS-p4p5Jz,25.619999,0.0,0.0,13.417451,0.0,0.19642,0.0,6.828281,19.445167,0.0,0.81587
CDS-p4pkI2,1.263628,0.0,0.0,1.146807,0.0,0.0,0.0,0.0,0.229378,0.0,0.203976
CDS-p51Grv,20.576769,0.0,0.0,8.022192,0.0,0.0,0.0,12.581002,19.164644,0.0,1.120623
CDS-p6T6u1,58.704433,0.0,0.0,26.992300999999998,0.336909,0.0,0.0,4.962756,30.994813,0.0,2.0599819999999998
CDS-p8j9qw,7.393064,0.0,0.0,2.5587999999999997,0.0,0.070765,0.0,1.018765,0.348648,0.0,0.345498
CDS-p9fzQ6,21.47136,0.0,0.0,8.648137,0.0,0.139312,0.0,0.0,5.599303,0.0,5.730533
CDS-pDlJKj,7.647128,0.0,0.0,1.634888,0.0,0.0,0.0,6.174213,8.366689999999998,0.0,0.0
CDS-pFg4ou,0.056114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-pGwPQ6,75.923204,0.0,0.0,24.615637,0.0,0.0,9.108307,1.226132,14.019952,0.0,15.369563000000001
CDS-pI5NJf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-pIuD7G,1.842043,0.0,0.0,0.702626,0.0,0.0,0.0,1.274216,0.086481,0.0,0.0
CDS-pJxjOr,47.036638,0.0,0.0,15.945364999999999,0.168282,0.0,9.535398,0.953157,13.257772,0.031091,7.1009
CDS-pKAFAT,4.467745,0.0,0.0,1.370095,0.0,0.0,0.0,2.470626,4.377871,0.0,0.0
CDS-pKF3XN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-pLe4LB,85.633209,0.0,0.0,63.241414,0.0,0.291426,0.0,45.523177,207.42898499999998,0.0,30.715517
CDS-pO1aBc,40.893620999999996,0.0,0.0,35.378288,0.097106,0.345544,0.0,2.817486,4.321118,0.0,0.5363209999999999
CDS-pOmbHU,0.349602,0.0,0.0,0.445911,0.0,0.0,0.0,0.0,0.164204,0.0,0.0
CDS-pP0oEE,5.390615,0.0,0.0,1.988735,0.0,0.0,0.0,0.0,0.855709,0.0,0.0
CDS-pRIgmK,88.804071,0.0,0.0,34.37647,0.161295,0.0,0.0,3.641694,1.5837620000000001,0.138564,0.195738
CDS-pSA0Qp,1.72145,0.0,0.0,0.58996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-pSB7OB,22.520482,0.0,0.0,4.470327,0.0,0.096777,0.0,18.752397,28.321040999999997,0.0,9.168251
CDS-pSoNJI,194.930062,0.0,0.0,51.056023,0.125771,0.224786,1.075404,0.0,37.35049600000001,0.084529,18.184185
CDS-pW3tcz,38.452146,0.0,0.0,18.165402,0.023365,0.0,8.422609,2.095363,17.355501999999998,0.0,4.348300999999999
CDS-pa5O6F,4.027343,0.0,0.050445,1.093049,0.0,0.0,0.0,2.870304,0.521928,0.0,0.084822
CDS-pbFFmj,0.77685,0.0,0.0,0.207296,0.0,0.0,0.0,0.0,0.033465,0.0,0.092886
CDS-pfrODl,9.817307000000001,0.0,0.0,5.857488,0.0,0.0,0.0,6.995485,10.673467,0.0,0.0
CDS-pgFC3w,9.501140000000001,0.0,0.0,4.914168,0.040066,0.0,0.0,8.743104,6.541460000000001,0.0,0.232778
CDS-pjT12V,2.234353,0.0,0.015455,0.657263,0.0,0.0,0.0,1.432582,1.081866,0.0,0.0
CDS-pltdgB,0.027523,0.0,0.0,0.026638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-pmEh2a,10.713346,0.0,0.0,5.4908,0.0,0.0,0.0,5.557545,11.762917,0.0,1.870937
CDS-pofdOC,39.953783,0.0,0.0,10.309515,0.0,0.0,0.0,18.912334,46.830141,0.029941,2.72293
CDS-pooIQj,2.926675,0.0,0.0,1.137924,0.0,0.0,0.0,0.512373,0.0,0.0,0.0
CDS-pspc0Y,57.232828,0.0,0.0,24.630525,0.02486,0.0,0.0,1.406728,1.374341,0.0,0.0
CDS-pvNwpR,3.78608,0.0,0.0,14.262801999999999,0.0,0.0,0.0,7.184342,7.423819,0.0,0.0
CDS-pw4b0e,78.13768300000001,0.0,0.0,33.240401999999996,0.388957,0.0,7.154022,3.477919,24.780694,0.100194,3.427791
CDS-px5PV2,39.468358,0.0,0.0,17.436439,0.0,0.0,0.0,0.410898,7.721416,0.0,4.300895000000001
CDS-pxWz15,68.288234,0.0,0.0,21.794377,0.325041,0.0,0.0,4.151327,4.50525,0.044355,0.0
CDS-pyYdxk,1.557869,0.0,0.0,2.3977380000000004,0.0,0.0,0.0,2.218603,5.4960439999999995,0.0,0.0
CDS-q1hz3w,3.041308,0.0,0.0,2.63282,0.0,0.0,0.0,4.892659,6.837531,0.039182,0.0
CDS-q2Xjjp,16.309876,0.0,0.0,10.58491,0.0,0.0,0.0,0.737016,1.008458,0.0,0.0
CDS-q3pzup,1.7935990000000002,0.0,0.0,1.142413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-q4Yj5g,3.907809,0.0,0.0,0.702907,0.0,0.0,0.0,0.57707,0.0,0.0,0.0
CDS-q6LpBr,72.32335599999999,0.0,0.0,42.288405000000004,0.0951,0.0,16.439737,1.593099,9.82934,0.0,0.0
CDS-q6LsXv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-q8yjmB,1.078882,0.0,0.0,1.8546889999999998,0.0,0.0,0.0,3.515013,3.516756,0.0,0.0
CDS-qD4Xm1,1.8953520000000001,0.0,0.0,0.601034,0.0,0.0,0.0,0.0,0.0,0.0,0.38736
CDS-qD8b77,2.432184,0.0,0.0,0.449475,0.0,0.0,0.0,0.667227,2.0053140000000003,0.0,0.0
CDS-qFEgZD,6.671675,0.0,0.0,6.1334089999999994,0.0,0.0,0.0,4.817552,3.408183,0.0,0.0
CDS-qGL2v7,66.419991,0.0,0.0,18.852419,0.0,0.0,0.0,4.30977,13.639975,0.0,3.300304
CDS-qGWpwF,31.173258,0.0,0.0,18.461496,0.0,0.0,0.0,0.0,1.057068,0.0,0.0
CDS-qHGSFb,4.917361,0.0,0.0,2.784459,0.0,0.0,0.0,2.436753,5.516379,0.030766,0.0
CDS-qJ4ZCO,92.06840100000001,0.0,0.0,33.865963,0.330001,0.0,0.0,6.647613,30.046564,0.147757,13.586422
CDS-qJ7COw,0.560128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118957,0.0,0.0
CDS-qMGyLa,74.912486,0.0,0.0,26.55337,0.046182,0.0,0.0,6.881746,12.106147,0.065104,0.580956
CDS-qNtPvc,14.098096,0.0,0.0,9.504021,0.116587,0.0,0.0,0.0,6.599831,0.0,2.856538
CDS-qRHy3f,0.480172,0.0,0.0,0.73848,0.0,0.0,0.0,0.0,0.440262,0.0,0.0
CDS-qToyZN,1.431842,0.0,0.0,0.382602,0.0,0.0,0.0,0.0,0.191537,0.0,0.0
CDS-qUtxaI,0.778613,0.0,0.0,1.16942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-qWtV8R,36.331549,0.0,0.0,10.798597999999998,0.080034,0.144895,5.560987,2.425127,7.720394000000001,0.0,7.2256350000000005
CDS-qX5fGQ,30.747605,0.0,0.0,27.257185000000003,0.0,0.082627,0.0,12.640664,4.990698,0.0,0.216058
CDS-qZazWF,16.249962,0.0,0.0,6.593853,0.0,0.0,0.0,1.007872,5.063783000000001,0.0,0.0
CDS-qdY9O6,0.104577,0.0,0.0,0.191355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-qkHJWu,9.6447,0.0,0.0,3.191915,0.0,0.0,2.505527,0.0,3.585184,0.0,0.698912
CDS-qmWJ1F,9.077287,0.0,0.0,6.658299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-qnwA8S,0.948326,0.0,0.026258,0.525447,0.0,0.0,0.0,0.185817,0.0,0.0,0.0
CDS-qoHI3w,14.625571999999998,0.0,0.0,6.521342,0.0,0.0,0.0,14.20675,14.530659,0.0,0.0
CDS-qp13hu,1.206807,0.0,0.0,2.136476,0.018863,0.0,0.0,0.0,0.377647,0.0,0.0
CDS-qq9MvU,3.406969,0.0,0.0,3.7641600000000004,0.0,0.0,0.0,2.553813,0.54933,0.0,0.0
CDS-qqF7T8,25.863757999999997,0.0,0.04478,9.375682,0.066273,0.0,0.0,15.47186,6.197323,0.028772,0.069183
CDS-qqtvjV,0.021678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-qqxCqP,0.136855,0.0,0.0,0.008326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-qr7V22,1.22545,0.0,0.054448,0.0,0.0,0.0,0.0,0.741802,0.211966,0.0,0.0
CDS-qt6v2d,66.143001,0.0,0.0,29.969974999999998,0.0,0.0,0.0,4.299861,5.771043,0.0,2.163818
CDS-quTwbh,37.313201,0.0,0.0,44.788703,0.282498,0.113094,0.0,8.490554,3.4292819999999997,0.0,0.07919
CDS-qyKKMN,2.966616,0.0,0.395607,0.249584,0.0,0.0,0.0,0.0,0.012299,0.0,0.0
CDS-qyLPao,0.183557,0.0,0.0,0.015992,0.0,0.0,0.0,0.0,0.010597,0.0,0.0
CDS-qytqHs,1.6338069999999998,0.0,0.0,0.8275739999999999,0.018404,0.0,0.0,0.211955,0.965849,0.0,0.0
CDS-r0XUYR,3.2490880000000004,0.0,0.0,5.191548,0.0,0.0,0.0,0.0,4.359685,0.0,0.0
CDS-r1JrxF,18.501289,0.0,0.0,6.14593,0.0,0.0,0.0,0.532488,0.412852,0.0,0.0
CDS-r4XzLq,20.978526,0.0,0.0,9.390553,0.0,0.0,0.0,1.337659,0.356937,0.0,0.434255
CDS-r5Yp7j,10.121175,0.0,0.0,4.490602,0.0,0.0,0.0,8.242055,14.560801,0.0,0.568037
CDS-r8xIVe,2.6930940000000003,0.0,0.0,0.652661,0.0,0.0,0.0,0.0,0.306922,0.0,0.132694
CDS-r9af7e,18.369255,0.0,0.0,11.718411,0.275846,0.0,0.0,0.0,2.105839,0.0,0.0
CDS-rASamU,0.079202,0.0,0.0,0.587294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
